date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:48	46697/46697	---M--	200	added ('OK')	image/png	etag:%22b922daa-b669-57b8685c18e5a%22	https://thedesignproject.co/img/step02.png	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/step02.png	(from https://thedesignproject.co/)
20:53:48	5675/5675	---M--	200	added ('OK')	image/png	etag:%22b922d86-162b-57b8685e0f95a%22	https://thedesignproject.co/img/04.png	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/04.png	(from https://thedesignproject.co/)
20:53:49	731/731	---M--	200	added ('OK')	image/svg+xml	etag:%22b922db9-2db-57b86861290b6%22	https://thedesignproject.co/img/step04.svg	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/step04.svg	(from https://thedesignproject.co/)
20:53:49	3422/3422	---M--	200	added ('OK')	image/png	etag:%22b922da0-d5e-57b8685f2a8b6%22	https://thedesignproject.co/img/love.png	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/love.png	(from https://thedesignproject.co/)
20:53:49	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	D:/HTTrack_Websites/Try_1/Try_1/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://thedesignproject.co/)
20:53:50	7760/7760	---M-Z	200	added ('OK')	application/javascript	etag:W/%221e50-PWPeglUym3e6uwrRi/nzuaCFI2M%22	https://cdn.jsdelivr.net/npm/sharer.js@latest/sharer.min.js	D:/HTTrack_Websites/Try_1/Try_1/cdn.jsdelivr.net/npm/sharer.js@latest/sharer.min.js	(from https://thedesignproject.co/)
20:53:50	49167/49167	---M--	200	added ('OK')	image/png	etag:%22b922db7-c00f-57b8685d5d5c7%22	https://thedesignproject.co/img/step04.png	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/step04.png	(from https://thedesignproject.co/)
20:53:50	2413/2413	---M--	200	added ('OK')	application/javascript	etag:%22b922e88-96d-57b765226b437%22	https://thedesignproject.co/js/jQuery.progressBar.js	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/js/jQuery.progressBar.js	(from https://thedesignproject.co/)
20:53:51	11647/11647	---M--	200	added ('OK')	image/gif	etag:%22b922e8d-2d7f-57b88cccbebd3%22	https://thedesignproject.co/img/loading.gif	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/loading.gif	(from https://thedesignproject.co/css/style_min.css)
20:53:52	17032/17032	---M--	200	added ('OK')	image/png	etag:%22b922d8d-4288-57b8685a4945a%22	https://thedesignproject.co/img/ilustracion_people.png	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/ilustracion_people.png	(from https://thedesignproject.co/css/style_min.css)
20:53:52	61627/61627	---M--	200	added ('OK')	image/png	etag:%22b922e89-f0bb-57b8685a75b4b%22	https://thedesignproject.co/img/gummy_.png	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/gummy_.png	(from https://thedesignproject.co/css/style_min.css)
20:53:52	58050/58050	---M--	200	added ('OK')	image/png	etag:%22b922d8f-e2c2-57b8685a9012b%22	https://thedesignproject.co/img/ilustracion.png	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/ilustracion.png	(from https://thedesignproject.co/css/style_min.css)
20:53:52	2031/2031	---M--	200	added ('OK')	image/svg+xml	etag:%22b923411-7ef-57c0e97bd4b28%22	https://thedesignproject.co/img/title01.svg	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/title01.svg	(from https://thedesignproject.co/css/style_min.css)
20:53:53	2199/2199	---M--	200	added ('OK')	image/svg+xml	etag:%22b923412-897-57c0e9814dd34%22	https://thedesignproject.co/img/title02.svg	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/title02.svg	(from https://thedesignproject.co/css/style_min.css)
20:53:53	2091/2091	---M--	200	added ('OK')	image/svg+xml	etag:%22b923413-82b-57c0e988fe567%22	https://thedesignproject.co/img/title03.svg	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/title03.svg	(from https://thedesignproject.co/css/style_min.css)
20:53:53	2361/2361	---M--	200	added ('OK')	image/svg+xml	etag:%22b923414-939-57c0e98fde98f%22	https://thedesignproject.co/img/title04.svg	D:/HTTrack_Websites/Try_1/Try_1/thedesignproject.co/img/title04.svg	(from https://thedesignproject.co/css/style_min.css)
